,date,declination,right_ascension
353,12/21/2018,21d 13m 57s South,16h 31m 20s
354,12/22/2018,21d 15m 56s South,16h 32m 15s
355,12/23/2018,21d 17m 53s South,16h 33m 10s
356,12/24/2018,21d 19m 48s South,16h 34m 4s
357,12/25/2018,21d 21m 42s South,16h 34m 59s
358,12/26/2018,21d 23m 34s South,16h 35m 53s
359,12/27/2018,21d 25m 25s South,16h 36m 48s
360,12/28/2018,21d 27m 14s South,16h 37m 42s
361,12/29/2018,21d 29m 2s South,16h 38m 36s
362,12/30/2018,21d 30m 48s South,16h 39m 29s
363,12/31/2018,21d 32m 32s South,16h 40m 23s
364,1/1/2019,21d 34m 15s South,16h 41m 16s
365,1/2/2019,21d 35m 57s South,16h 42m 10s
